text,label
hotel_pro-5886,0
guest_9824,0
config.php.old,1
tourist_76721' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,1
<details open ontoggle=alert(1)>,1
"med.3502"" OR ""1""=""1",1
tn_traveler_7226,0
../../etc/passwd,1
<details open ontoggle=alert(1)>,1
user.2889,0
<details open ontoggle=alert(1)>,1
tourist4066,0
visitor-2026,0
admin.bak,1
visitor8623,0
med-71,0
hotel_pro_596,0
tourist839,0
config.php.old,1
<details open ontoggle=alert(1)>,1
config.php.old,1
user.1040,0
hotel_pro-4147,0
hotel_pro_2784,0
tn_traveler.4231,0
javascript:alert(1),1
javascript:alert(1),1
..\..\windows\system32,1
../../etc/passwd,1
visitor-7995,0
med.7743,0
admin.bak,1
med.4250,0
guest-8936,0
admin_staff.5417,0
med_2265' OR 'a'='a,1
aya6508,0
<svg/onload=alert(1)>,1
'-alert(1)-',1
tourist.3929,0
"tourist.60951' UNION SELECT NULL, NULL--",1
visitor.7376,0
"tourist.4405"" OR ""1""=""1",1
user_6576,0
/var/www/html/.env,1
hotel_pro-4460,0
visitor_6247,0
<script>alert(1)</script>,1
visitor5025,0
config.php.old,1
../../etc/passwd,1
admin.bak,1
hotel_pro_1117,0
user.6459'; EXEC xp_cmdshell('dir')--,1
/var/www/html/.env,1
../../etc/passwd,1
aya_2711,0
aya.8457,0
user_2546,0
aya5579,0
hotel_pro-7359,0
user_2298admin'--,1
guest.7164,0
med_2629,0
med-7423,0
<svg/onload=alert(1)>,1
tourist-983,0
..\..\windows\system32,1
<details open ontoggle=alert(1)>,1
tourist_6846') OR ('1'='1,1
user1368admin' AND 1=1,1
<svg/onload=alert(1)>,1
"tourist_6757"" OR ""1""=""1",1
admin.bak,1
../../etc/passwd,1
admin_staff9351,0
config.php.old,1
med3303,0
aya9744,0
user.2850,0
user.4566,0
admin.bak,1
admin_staff-3297' OR 1=1 --,1
tourist_765,0
hotel_pro_8276,0
visitor223,0
<iframe src='javascript:alert(1)'>,1
guest714,0
aya.7665,0
aya_3903,0
hotel_pro5408,0
<img src=x onerror=alert(1)>,1
aya-8755,0
<iframe src='javascript:alert(1)'>,1
tourist_9574,0
aya.8211,0
tn_traveler_7204,0
aya.2126admin'--,1
guest.6503,0
tourist2976,0
user.3300,0
user.4690,0
/var/www/html/.env,1
aya_2359,0
config.php.old,1
user-8469,0
visitor1286,0
javascript:alert(1),1
guest_9615,0
user_7518,0
guest_2875,0
<script>alert(1)</script>,1
tn_traveler6599,0
config.php.old,1
guest4960,0
admin_staff_2622,0
med_5181,0
med-1262' OR 'a'='a,1
"med_24181' UNION SELECT NULL, NULL--",1
<iframe src='javascript:alert(1)'>,1
/var/www/html/.env,1
tn_traveler.1854,0
tn_traveler8828,0
admin_staff6476' OR 1=1 --,1
config.php.old,1
visitor.1130,0
hotel_pro-6152,0
med6574') OR ('1'='1,1
med_8874admin' AND 1=1,1
hotel_pro-5761,0
config.php.old,1
med_6934,0
"med.99021' UNION SELECT NULL, NULL--",1
admin.bak,1
admin_staff.2341,0
med-620'; EXEC xp_cmdshell('dir')--,1
med.5272,0
<body onload=alert(1)>,1
tourist.4148,0
user8940,0
med-2468'; EXEC xp_cmdshell('dir')--,1
aya-8020,0
user3402,0
"aya-5744"" OR ""1""=""1",1
hotel_pro.3563,0
guest.3859'; EXEC xp_cmdshell('dir')--,1
tn_traveler651,0
tourist_1213') OR ('1'='1,1
admin.bak,1
tn_traveler_4789,0
tn_traveler_4921,0
med7396,0
aya_2509,0
user.9832admin' AND 1=1,1
tn_traveler.5910,0
admin.bak,1
tn_traveler.1171,0
aya.8266' OR 1=1 --,1
'-alert(1)-',1
user9536,0
<script>alert(1)</script>,1
admin_staff.6627,0
visitor.890OR SLEEP(5),1
<img src=x onerror=alert(1)>,1
javascript:alert(1),1
<body onload=alert(1)>,1
aya904,0
<svg/onload=alert(1)>,1
hotel_pro.2596,0
aya_1716,0
guest.8045,0
aya17961' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,1
tourist.1120,0
user_9805,0
aya.4159,0
hotel_pro_1083,0
aya.1272,0
hotel_pro_7924,0
'-alert(1)-',1
<iframe src='javascript:alert(1)'>,1
aya-7160,0
admin.bak,1
hotel_pro6683,0
user4656,0
tourist_729,0
tn_traveler.7252' OR 1=1 --,1
aya_17' OR 'a'='a,1
hotel_pro5056admin' AND 1=1,1
user-9922,0
<body onload=alert(1)>,1
admin_staff.6577') OR ('1'='1,1
tourist_3066,0
visitor_5616,0
config.php.old,1
<details open ontoggle=alert(1)>,1
med_156,0
visitor.2249,0
../../etc/passwd,1
<script>alert(1)</script>,1
med_6574,0
tn_traveler3723,0
tn_traveler-3888OR SLEEP(5),1
med.8878,0
<script>alert(1)</script>,1
guest.5079,0
<script>alert(1)</script>,1
tn_traveler-7949,0
"med_98151' UNION SELECT NULL, NULL--",1
admin_staff6409,0
admin.bak,1
admin_staff-6715,0
guest763,0
aya6281,0
/var/www/html/.env,1
aya.4595,0
user1023,0
"visitor215"" OR ""1""=""1",1
