age,gender,nationality,current_city,travel_style,budget_level,preferred_region,preferred_cuisine,travel_with,transport_preference,accommodation_type,budget_avg,is_group,travel_intensity,city
38,female,tunisian,Ben Arous,party,medium,coastal,european,couple,plane,hotel,47.2,1,high,Zaghouan
35,female,arab,Sousse,nature,high,north,european,friends,car,hostel,338.7,0,high,Jendouba
19,male,arab,Mahdia,beaches,medium,north,mediterranean,friends,car,airbnb,61.0,1,medium,Bizerte
27,female,other,Manouba,cultural,high,desert,american,couple,plane,hotel,40.0,0,low,Tozeur
36,male,african,Zaghouan,luxury,high,inland,middle_eastern,family,public,resort,370.2,0,high,Le Kef
44,female,arab,Kebili,luxury,medium,inland,european,family,car,resort,74.3,0,low,Le Kef
39,male,arab,Monastir,party,medium,south,indian,couple,public,resort,48.1,1,low,Sfax
51,male,arab,Kebili,beaches,high,south,mediterranean,solo,car,resort,274.8,0,high,Gabes
37,male,other,Le Kef,cultural,high,north,mediterranean,family,plane,airbnb,210.9,0,low,Tunis
70,female,other,Kasserine,adventure,high,inland,european,couple,public,resort,101.4,0,high,Gafsa
37,female,tunisian,Sidi Bouzid,cultural,medium,coastal,tunisian,couple,plane,hotel,40.0,0,low,Monastir
60,female,african,Kairouan,nature,high,south,european,couple,plane,airbnb,156.0,1,medium,Kebili
57,female,arab,Ariana,beaches,low,inland,tunisian,couple,plane,resort,214.8,0,low,Sfax
56,male,tunisian,Sidi Bouzid,nature,low,inland,indian,couple,plane,resort,113.8,1,high,Siliana
59,male,arab,Siliana,adventure,low,south,american,friends,public,hostel,203.7,0,high,Tataouine
18,female,arab,Gafsa,beaches,low,desert,indian,couple,public,resort,202.7,0,medium,Kebili
18,female,tunisian,Tunis,party,high,north,mediterranean,couple,car,hostel,181.0,0,medium,Ben Arous
40,male,african,Ariana,relaxation,medium,inland,asian,friends,car,resort,190.6,0,medium,Kasserine
44,female,other,Kebili,luxury,high,desert,middle_eastern,solo,plane,hotel,174.1,0,low,Tozeur
46,female,other,Nabeul,nature,low,desert,mediterranean,friends,plane,airbnb,297.0,0,medium,Kebili
36,male,european,Monastir,cultural,low,north,indian,solo,car,resort,368.5,0,high,Tunis
37,male,arab,Gabes,luxury,high,inland,tunisian,family,plane,hotel,348.2,0,low,Le Kef
30,female,african,Nabeul,beaches,high,inland,indian,family,car,hotel,193.5,0,high,Sfax
54,male,arab,Nabeul,party,medium,desert,asian,solo,car,hotel,95.8,1,high,Tozeur
59,male,arab,Nabeul,adventure,medium,inland,tunisian,family,car,resort,254.3,1,high,Gafsa
49,female,arab,Sfax,relaxation,low,south,tunisian,couple,plane,airbnb,40.0,0,medium,Gabes
52,female,european,Bizerte,relaxation,low,south,european,couple,public,airbnb,40.0,0,medium,Gabes
67,male,african,Jendouba,cultural,low,inland,american,friends,plane,airbnb,318.3,0,low,Kairouan
47,female,tunisian,Tunis,nature,medium,inland,american,friends,plane,hotel,125.5,0,medium,Siliana
34,female,african,Tozeur,luxury,low,inland,american,solo,plane,airbnb,245.9,1,high,Le Kef
36,female,arab,Kairouan,luxury,high,south,middle_eastern,family,public,hotel,252.9,1,medium,Gabes
49,female,other,Beja,luxury,high,coastal,mediterranean,family,plane,airbnb,40.0,1,low,Nabeul
34,female,tunisian,Sfax,adventure,low,south,mediterranean,friends,public,resort,60.8,0,high,Tataouine
18,female,tunisian,Kasserine,relaxation,medium,coastal,middle_eastern,friends,car,resort,203.7,1,low,Mahdia
29,male,other,Le Kef,luxury,low,south,indian,family,car,airbnb,166.4,1,high,Gabes
32,female,african,Siliana,cultural,medium,desert,mediterranean,couple,car,resort,40.0,0,medium,Tozeur
53,male,european,Mahdia,adventure,low,south,asian,solo,plane,hostel,163.1,1,medium,Tataouine
33,female,european,Nabeul,beaches,medium,south,indian,solo,public,airbnb,77.3,0,high,Gabes
52,female,european,Sousse,nature,high,north,mediterranean,friends,car,hostel,187.3,0,low,Jendouba
40,male,african,Beja,relaxation,medium,inland,mediterranean,friends,car,hotel,193.5,0,medium,Kasserine
54,female,tunisian,Zaghouan,nature,low,coastal,middle_eastern,friends,plane,hotel,127.5,1,high,Mahdia
48,female,arab,Le Kef,cultural,low,desert,tunisian,family,plane,hostel,138.5,0,medium,Tozeur
55,female,other,Sousse,relaxation,low,inland,asian,family,car,airbnb,40.0,0,low,Kasserine
29,male,arab,Ben Arous,luxury,low,desert,african,friends,public,hostel,116.4,0,high,Tozeur
44,male,european,Gabes,beaches,medium,desert,asian,family,car,hostel,216.5,1,medium,Kebili
30,male,other,Kasserine,adventure,high,coastal,mediterranean,couple,plane,hostel,137.3,1,medium,Sfax
27,male,tunisian,Kairouan,adventure,medium,coastal,asian,couple,public,airbnb,132.8,1,medium,Sfax
43,male,african,Beja,cultural,low,north,european,family,car,resort,261.3,1,low,Tunis
19,male,arab,Sidi Bouzid,cultural,low,inland,tunisian,couple,public,hotel,114.2,0,low,Kairouan
39,female,tunisian,Monastir,nature,medium,south,indian,friends,public,resort,339.0,0,low,Kebili
47,male,tunisian,Gabes,nature,high,north,middle_eastern,couple,plane,airbnb,158.3,1,low,Jendouba
46,female,other,Jendouba,luxury,medium,south,african,friends,public,hotel,149.8,0,high,Gabes
34,female,arab,Sfax,beaches,low,desert,mediterranean,couple,car,hostel,65.9,0,medium,Kebili
41,male,european,Ben Arous,adventure,high,coastal,african,couple,public,hotel,210.5,1,high,Sfax
35,female,arab,Kasserine,relaxation,medium,desert,african,friends,car,hostel,246.1,1,high,Kebili
65,male,tunisian,Tataouine,nature,low,south,american,family,car,hotel,119.4,0,low,Kebili
54,male,other,Siliana,adventure,low,south,indian,family,car,hostel,40.0,1,high,Tataouine
45,male,tunisian,Monastir,relaxation,low,inland,asian,friends,public,hostel,168.8,1,high,Kasserine
35,female,other,Siliana,luxury,medium,north,european,family,plane,hostel,170.4,1,high,Manouba
31,male,european,Manouba,adventure,low,desert,european,couple,public,hotel,195.1,0,high,Tozeur
32,female,european,Sidi Bouzid,party,medium,desert,african,friends,public,hostel,173.5,0,low,Tozeur
21,female,tunisian,Sidi Bouzid,cultural,medium,inland,african,solo,public,airbnb,96.4,0,high,Kairouan
19,male,african,Kasserine,nature,high,south,indian,family,car,resort,278.9,1,high,Kebili
50,male,european,Nabeul,party,high,coastal,indian,solo,car,airbnb,91.1,1,low,Zaghouan
56,male,arab,Medenine,adventure,medium,inland,american,friends,plane,hotel,40.0,1,medium,Gafsa
63,male,other,Sfax,adventure,high,north,european,family,car,hotel,139.4,0,medium,Beja
40,male,tunisian,Ben Arous,adventure,medium,north,african,family,public,hostel,252.7,0,low,Beja
39,male,other,Medenine,party,low,south,middle_eastern,couple,public,airbnb,172.4,1,medium,Sfax
45,female,tunisian,Manouba,luxury,medium,desert,african,friends,plane,airbnb,110.4,1,medium,Tozeur
67,female,european,Kasserine,nature,medium,desert,african,family,car,hostel,169.2,0,medium,Kebili
56,male,arab,Kasserine,nature,medium,coastal,european,family,plane,resort,232.5,0,high,Mahdia
47,female,other,Jendouba,cultural,high,coastal,mediterranean,family,public,hostel,310.7,1,low,Monastir
40,female,african,Tozeur,relaxation,medium,inland,american,solo,public,hotel,95.7,1,low,Kasserine
39,male,tunisian,Monastir,relaxation,medium,north,african,solo,public,airbnb,89.8,1,high,Ariana
53,female,arab,Manouba,luxury,low,desert,american,couple,plane,hotel,40.0,1,high,Tozeur
20,female,tunisian,Nabeul,adventure,medium,south,mediterranean,solo,car,resort,198.5,1,medium,Tataouine
18,male,tunisian,Tataouine,relaxation,medium,desert,asian,family,car,airbnb,236.9,1,low,Kebili
48,male,other,Sousse,party,medium,north,asian,family,car,hotel,193.8,0,medium,Ben Arous
36,female,arab,Nabeul,relaxation,high,coastal,mediterranean,couple,plane,resort,204.8,0,low,Mahdia
37,female,other,Kairouan,cultural,low,north,tunisian,couple,car,airbnb,151.5,1,low,Tunis
63,female,tunisian,Tunis,luxury,medium,inland,mediterranean,friends,plane,resort,202.4,1,high,Le Kef
49,female,european,Jendouba,relaxation,medium,south,mediterranean,friends,plane,hostel,113.1,0,low,Gabes
26,male,european,Beja,nature,high,inland,indian,friends,car,hotel,40.0,0,high,Siliana
33,male,african,Kasserine,relaxation,medium,south,asian,solo,public,hostel,85.0,0,medium,Gabes
22,female,tunisian,Kairouan,relaxation,low,north,asian,solo,plane,airbnb,118.5,1,low,Ariana
31,male,european,Nabeul,relaxation,high,north,african,family,public,hotel,157.6,1,high,Ariana
63,male,other,Jendouba,cultural,low,inland,european,friends,plane,hotel,87.0,1,high,Kairouan
37,male,african,Kasserine,cultural,low,coastal,middle_eastern,friends,car,resort,143.3,0,high,Monastir
45,male,arab,Sidi Bouzid,cultural,medium,inland,mediterranean,solo,car,resort,171.4,1,high,Kairouan
31,male,european,Monastir,cultural,low,desert,mediterranean,family,public,hotel,51.4,1,medium,Tozeur
63,female,tunisian,Tozeur,beaches,medium,coastal,middle_eastern,family,public,airbnb,167.2,0,low,Sousse
71,female,other,Kebili,nature,high,inland,mediterranean,friends,plane,hotel,183.8,1,medium,Siliana
45,male,european,Tozeur,cultural,low,south,tunisian,family,car,hostel,141.3,0,high,Medenine
33,male,other,Sousse,adventure,medium,inland,american,couple,public,resort,157.1,0,low,Gafsa
70,male,arab,Kebili,beaches,low,coastal,african,couple,car,resort,260.9,1,high,Sousse
20,male,other,Sousse,party,high,desert,american,family,car,hostel,184.7,1,low,Tozeur
58,female,african,Tozeur,luxury,medium,north,tunisian,family,public,hotel,40.0,1,high,Manouba
18,female,european,Ben Arous,relaxation,high,coastal,american,friends,plane,resort,210.3,1,low,Mahdia
21,female,tunisian,Medenine,beaches,high,south,indian,couple,public,airbnb,260.9,0,medium,Gabes
58,male,tunisian,Medenine,cultural,low,desert,asian,family,public,resort,225.1,1,medium,Tozeur
27,male,arab,Kairouan,nature,high,north,african,friends,plane,airbnb,40.0,0,low,Jendouba
48,male,tunisian,Manouba,cultural,medium,coastal,european,family,public,resort,160.0,1,low,Monastir
43,female,african,Ariana,relaxation,high,coastal,asian,couple,car,resort,40.0,0,high,Mahdia
28,male,african,Beja,party,high,coastal,indian,family,plane,hostel,143.6,1,low,Zaghouan
46,male,other,Tozeur,luxury,medium,inland,asian,friends,car,resort,212.2,1,high,Le Kef
49,female,other,Sousse,relaxation,low,inland,mediterranean,couple,public,hostel,237.1,0,high,Kasserine
41,female,european,Medenine,adventure,medium,desert,american,couple,public,hotel,237.8,0,medium,Tozeur
18,male,arab,Nabeul,beaches,low,inland,indian,couple,plane,hostel,40.0,0,medium,Sfax
27,male,tunisian,Sidi Bouzid,relaxation,medium,coastal,african,solo,car,resort,63.7,0,medium,Mahdia
31,female,other,Sousse,nature,low,coastal,african,friends,car,airbnb,135.1,0,low,Mahdia
29,female,other,Ben Arous,nature,high,desert,tunisian,friends,public,hotel,216.8,0,high,Kebili
29,male,arab,Sidi Bouzid,party,high,north,american,couple,car,airbnb,269.7,1,high,Ben Arous
49,female,arab,Gafsa,adventure,high,south,tunisian,family,car,hotel,108.5,1,low,Tataouine
49,male,african,Monastir,adventure,high,coastal,african,family,car,airbnb,220.8,1,medium,Sfax
18,male,arab,Siliana,luxury,high,south,american,family,car,hostel,284.0,0,low,Gabes
35,female,tunisian,Sousse,cultural,high,inland,african,friends,plane,hostel,82.2,0,low,Kairouan
51,male,african,Manouba,party,low,north,asian,family,plane,resort,256.2,1,low,Ben Arous
23,female,african,Monastir,cultural,medium,desert,tunisian,couple,plane,hostel,270.0,0,medium,Tozeur
57,male,african,Gabes,beaches,low,north,middle_eastern,friends,plane,hostel,264.8,1,high,Bizerte
53,male,european,Sfax,beaches,low,coastal,mediterranean,friends,car,hostel,40.0,1,low,Sousse
64,female,other,Tunis,nature,medium,inland,middle_eastern,couple,public,resort,145.1,0,low,Siliana
62,male,other,Tozeur,nature,medium,south,middle_eastern,solo,car,airbnb,159.6,1,medium,Kebili
57,female,arab,Zaghouan,cultural,high,north,indian,friends,plane,airbnb,51.3,0,low,Tunis
49,male,other,Le Kef,relaxation,low,north,middle_eastern,family,car,resort,134.4,1,medium,Ariana
27,female,other,Kebili,cultural,low,inland,mediterranean,couple,plane,resort,40.0,1,low,Kairouan
29,female,tunisian,Le Kef,adventure,low,desert,african,couple,plane,hostel,79.0,1,high,Tozeur
25,male,arab,Nabeul,relaxation,high,south,african,friends,car,hotel,198.4,0,low,Gabes
40,male,african,Manouba,party,medium,south,middle_eastern,family,plane,hotel,206.0,1,medium,Sfax
41,female,african,Le Kef,luxury,high,south,european,couple,public,airbnb,54.7,1,low,Gabes
55,male,tunisian,Tunis,adventure,medium,desert,indian,couple,car,airbnb,192.8,1,low,Tozeur
31,female,european,Sidi Bouzid,beaches,medium,inland,asian,family,car,hostel,134.7,1,low,Sfax
43,male,other,Bizerte,cultural,high,desert,mediterranean,couple,car,hostel,81.3,1,medium,Tozeur
26,male,other,Sousse,adventure,low,north,middle_eastern,family,public,hostel,92.9,1,low,Beja
45,female,european,Kebili,nature,high,inland,american,friends,plane,airbnb,81.0,0,medium,Siliana
18,male,tunisian,Tataouine,nature,medium,inland,european,solo,plane,hostel,138.2,1,low,Siliana
52,female,tunisian,Gabes,nature,high,north,european,solo,public,airbnb,272.2,1,medium,Jendouba
18,male,tunisian,Siliana,party,low,desert,european,family,plane,hostel,317.6,1,high,Tozeur
77,male,african,Sfax,nature,medium,coastal,european,family,plane,airbnb,68.1,1,low,Mahdia
